GENE_ID, INFO, EVIDENCE
A0A1B0GTQ4, GO:0005789, ECO:0000265
A0AVF1, GO:0042073, ECO:0000265
A0AVF1, GO:0036064, ECO:0000265
A0AVF1, GO:0005813, ECO:0000265
A0AVK6, GO:0001217, ECO:0000265
A0AVK6, GO:0000122, ECO:0000265
A0AVT1, GO:0060996, ECO:0000265
A0AVT1, GO:0021766, ECO:0000265
A0AVT1, GO:0004839, ECO:0000265
A0AVT1, GO:0021764, ECO:0000265
A0AVT1, GO:0016567, ECO:0000265
A0MZ66, GO:0015630, ECO:0000265
A0MZ66, GO:0048812, ECO:0000265
A0MZ66, GO:0005875, ECO:0000265
A0MZ66, GO:0005874, ECO:0000265
A0PJY2, GO:0021772, ECO:0000265
A0PJY2, GO:0021537, ECO:0000265
A0PJY2, GO:0001764, ECO:0000265
A0PJY2, GO:0000978, ECO:0000265
A0PJY2, GO:0000976, ECO:0000265
A0PJY2, GO:0050767, ECO:0000265
A0PJY2, GO:0030900, ECO:0000265
A0PJY2, GO:0021797, ECO:0000265
A0PJY2, GO:0007411, ECO:0000265
A0PJY2, GO:0001227, ECO:0000265
A0PJY2, GO:0000122, ECO:0000265
A1L190, GO:0007131, ECO:0000265
A1L190, GO:0000801, ECO:0000265
A1L4H1, GO:0050830, ECO:0000265
A1L4H1, GO:0050829, ECO:0000265
A1L4H1, GO:0042494, ECO:0000265
A1XBS5, GO:0036064, ECO:0000265
A1YPR0, GO:0045944, ECO:0000265
A2PYH4, GO:0000712, ECO:0000265
A2RU54, GO:0007420, ECO:0000265
A2RUB1, GO:0006302, ECO:0000265
A2RUB1, GO:0048255, ECO:0000265
A3KMH1, GO:0016887, ECO:0000265
A4D126, GO:0007411, ECO:0000265
A5D6W6, GO:0005789, ECO:0000265
A5D6W6, GO:0030176, ECO:0000265
A5LHX3, GO:0005839, ECO:0000265
A5PKW4, GO:0031175, ECO:0000265
A5PKW4, GO:0098999, ECO:0000265
A5PLL7, GO:0005789, ECO:0000265
A5YKK6, GO:0000932, ECO:0000265
A6NC98, GO:0042832, ECO:0000265
A6NCS4, GO:0021854, ECO:0000265
A6NDG6, GO:0000287, ECO:0000265
A6NFK2, GO:0060088, ECO:0000265
A6NFK2, GO:0060122, ECO:0000265
A6NGG8, GO:0035845, ECO:0000265
A6NHN0, GO:0005509, ECO:0000265
A6NHQ4, GO:0048663, ECO:0000265
A6NHQ4, GO:0035616, ECO:0000265
A6NHQ4, GO:0070449, ECO:0000265
A6NHQ4, GO:0035098, ECO:0000265
A6NHR9, GO:0070868, ECO:0000265
A6NHR9, GO:0060820, ECO:0000265
A6NHR9, GO:0016887, ECO:0000265
A6NHR9, GO:0001740, ECO:0000265
A6NHT5, GO:0000977, ECO:0000265
A6NHT5, GO:0007420, ECO:0000265
A6NI15, GO:0001228, ECO:0000265
A6NIX2, GO:0003714, ECO:0000265
A6NJT0, GO:0021516, ECO:0000265
A6NJT0, GO:0021889, ECO:0000265
A6NK89, GO:0050769, ECO:0000265
A6NKF2, GO:0045944, ECO:0000265
A6NLP5, GO:0021954, ECO:0000265
A6NLP5, GO:0006570, ECO:0000265
A6NMT0, GO:0021521, ECO:0000265
A6NNA5, GO:0007399, ECO:0000265
A6NNA5, GO:0007409, ECO:0000265
A6NNA5, GO:0007411, ECO:0000265
A6NNA5, GO:0030182, ECO:0000265
A6NNA5, GO:0001764, ECO:0000265
A6NNA5, GO:0021516, ECO:0000265
A6NNA5, GO:0021559, ECO:0000265
A6NNS2, GO:0033017, ECO:0000265
A6NNS2, GO:0010880, ECO:0000265
A6NNY8, GO:0070536, ECO:0000265
A6NNY8, GO:0004843, ECO:0000265
A6NNY8, GO:1990380, ECO:0000265
A6NNY8, GO:0071108, ECO:0000265
A6NNY8, GO:0061578, ECO:0000265
A6NNY8, GO:0016579, ECO:0000265
A6PVL3, GO:0036064, ECO:0000265
A6PVL3, GO:0015630, ECO:0000265
A6QL63, GO:0060395, ECO:0000265
A7E2V4, GO:0031461, ECO:0000265
A7MD48, GO:0006397, ECO:0000265
A7MD48, GO:0007399, ECO:0000265
A8K855, GO:0045944, ECO:0000265
A8MTJ3, GO:0003924, ECO:0000265
A8MU46, GO:0045892, ECO:0000265
A8MW99, GO:0000800, ECO:0000265
A8MXK1, GO:0021517, ECO:0000265
A8MYZ6, GO:0000981, ECO:0000265
A8MZ26, GO:0061891, ECO:0000265
A8MZ26, GO:0005509, ECO:0000265
B0I1T2, GO:0038096, ECO:0000265
B1AH88, GO:0005741, ECO:0000265
B1AH88, GO:0014012, ECO:0000265
